precio,titulo_anuncio,tipo_alojamineto,n_personas,n_dormitorios,n_camas,n_banos,valoracion,n_evaluaciones,comunidad,url
27.0,Cómodo y FANTÁSTICO DÚPLEX con INTERNET,piso,4.0,2.0,2.0,1.0,4.56,82.0,islas_canarias,https://www.airbnb.es/rooms/32564219?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-26&check_out=2023-10-31&source_impression_id=p3_1691172370_KjJbBoPfV10ChWOP&previous_page_section_name=1000&federated_search_id=dde3fff5-09c3-4336-8aa4-3076d8028d15
69.0,"Casa con ubicacion, privacidad y 180° con vistas al mar",piso,2.0,1.0,1.0,1.0,4.93,85.0,islas_canarias,https://www.airbnb.es/rooms/49624366?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-18&check_out=2023-10-23&source_impression_id=p3_1691172345_HGpKRfbpQDKxA%2FAB&previous_page_section_name=1000&federated_search_id=41fafa1c-8213-4b70-9ff7-9b4bdb8eff3d
50.0,Apartamento céntrico en Las Palmas,piso,2.0,1.0,1.0,1.0,4.73,172.0,islas_canarias,https://www.airbnb.es/rooms/14419923?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-14&source_impression_id=p3_1691172362_ZDprZ0z0nn6W352t&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
45.0,La terraza del Mar,piso,3.0,1.0,2.0,1.0,1.0,137.0,islas_canarias,https://www.airbnb.es/rooms/856414008736550323?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691172370_lub56eBJ%2FN2GFdxg&previous_page_section_name=1000&federated_search_id=dde3fff5-09c3-4336-8aa4-3076d8028d15
35.0,Casa rural el El Sauzal,casa,3.0,1.0,1.0,1.0,4.69,102.0,islas_canarias,https://www.airbnb.es/rooms/562055872773760183?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691172370_ytfGP7UCP18tLrAL&previous_page_section_name=1000&federated_search_id=dde3fff5-09c3-4336-8aa4-3076d8028d15
40.0,Loft mirando al Atlántico,piso,2.0,1.0,1.0,1.0,4.68,104.0,islas_canarias,https://www.airbnb.es/rooms/15244099?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-12&source_impression_id=p3_1691172374_W3MUQsUHzxk0UuHc&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
30.0,Ohana,piso,2.0,1.0,1.0,1.0,4.47,76.0,islas_canarias,https://www.airbnb.es/rooms/32250819?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691172379_aJ2r6WuK9DvOKf0t&previous_page_section_name=1000&federated_search_id=08eb49d2-f817-47c1-acfd-9cf57f0c3b32
29.0,Acogedor apartamento privado,piso,2.0,1.0,2.0,1.0,4.79,555.0,islas_canarias,https://www.airbnb.es/rooms/3420974?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1691172351_VwN3R%2FQNUobeochg&previous_page_section_name=1000&federated_search_id=b41b1263-25bb-414e-8718-5e7ad3703f1b
40.0,Carmen Apartment,piso,2.0,1.0,2.0,1.0,4.83,65.0,islas_canarias,https://www.airbnb.es/rooms/39829823?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691172345_nyvgEsWMFPtBno%2FO&previous_page_section_name=1000&federated_search_id=41fafa1c-8213-4b70-9ff7-9b4bdb8eff3d
45.0,Casa Rosario,piso,4.0,2.0,3.0,1.0,4.57,140.0,islas_canarias,https://www.airbnb.es/rooms/14727784?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691172382_CsNNJ6fv2fv8Dlt%2B&previous_page_section_name=1000&federated_search_id=937af752-de63-420e-b876-b05ea5a3c988
