Unnamed: 0,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,precio,comunidad,url
285.0,"Baena casa en las montañas León,fin de carretera",casa rural,2 viajeros,1 dormitorio,1 cama,1 baño,"4,89",47,,castilla_y_leon,https://www.airbnb.es/rooms/36763564?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085997_PLQcLAGrkKmRaf8G&previous_page_section_name=1000&federated_search_id=26d3c233-9c23-44d6-9a61-e538221c3edc
291.0,Apartamento con panorámicas a playa de Xago,vivienda vacacional,4 viajeros,2 dormitorios,3 camas,1 baño,"4,83",18,,asturias,https://www.airbnb.es/rooms/631551939352979971?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691085514_gCxL1XlEaROWGLGy&previous_page_section_name=1000&federated_search_id=effd06b7-7485-4463-845b-a96e69a71567
314.0,Mini Adela CA-1693-AS,casa rural,4 viajeros,1 dormitorio,2 camas,1 baño,"4,81",32,,asturias,https://www.airbnb.es/rooms/33328115?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691085494_6dQaV9rcDEIydBBL&previous_page_section_name=1000&federated_search_id=f88be479-1047-4f45-baf9-e492fad3e12c
316.0,Amplia habitación independiente con terraza y baño,Isaac,4 viajeros,1 dormitorio,3 camas,1 baño privado,"5,0",17,,aragon,https://www.airbnb.es/rooms/667102169585479636?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691085884_bOSC%2FrmxyZTEO4%2Fo&previous_page_section_name=1000&federated_search_id=415aca3a-0056-44d2-aef3-28d018fdea57
327.0,Loft acogedor y sencillo,apto,2 viajeros,Estudio,1 cama,1 baño,"4,49",55,,madrid,https://www.airbnb.es/rooms/710851242042474195?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086098_dSlGb%2BXUIyGtQEER&previous_page_section_name=1000&federated_search_id=04805f57-90e4-4064-bda5-a48e8154eccd
334.0,Ático rural entre las tres ciudades y 15km del mar,casa de invitados,4 viajeros,2 dormitorios,3 camas,1 baño,"4,89",47,,navarra,https://www.airbnb.es/rooms/22784229?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-08&check_out=2023-09-13&source_impression_id=p3_1691085715_mYfdc4QiIT4ZWp2O&previous_page_section_name=1000&federated_search_id=56966045-f5af-4a4f-8d06-633587c2fd56
339.0,Apartamento con terraza,piso,4 viajeros,2 dormitorios,3 camas,2 baños,"4,85",13,,pais_vasco,https://www.airbnb.es/rooms/868017814268655860?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-04&source_impression_id=p3_1691085656_pd2oH%2F8U39WflOcj&previous_page_section_name=1000&federated_search_id=ebd8fb6f-1272-4b76-a753-0789fcf83d2b
354.0,El piso de Sabrina. MU 4548 1,piso,3 viajeros,2 dormitorios,2 camas,"1,5 baños","4,80",5,,murcia,https://www.airbnb.es/rooms/902996433977503157?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086257_QI6CThIY5CslOlcP&previous_page_section_name=1000&federated_search_id=7a961ff4-aa72-4033-b352-08eddcb03fa9
358.0,EL FRESNO. Cálido y acogedor apto en Lozoya pueblo,vivienda vacacional,2 viajeros,1 dormitorio,1 cama,1 baño,"4,90",20,,castilla_y_leon,https://www.airbnb.es/rooms/552181653820262463?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086021_v7S9VBIyH4qPRHmN&previous_page_section_name=1000&federated_search_id=11f1ee4c-f3aa-4d86-b352-af0e3928e42f
359.0,Céntrico y cómodo apartamento en Girona,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,87",46,,cataluña,https://www.airbnb.es/rooms/623504649145069523?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-28&check_out=2023-10-05&source_impression_id=p3_1691085924_Zazjz14E857lJbsS&previous_page_section_name=1000&federated_search_id=c03c9b9c-a2ce-4fb0-9e27-34ce978f22e4
