Unnamed: 0,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,precio,comunidad,url
148.0,Cómoda habitación cerca de la estación de Portahotel a 3 minutos caminando.,,,,,,,,,madrid,https://www.airbnb.es/rooms/22491898?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086037_oTTTudAYHnc2p8Pw&previous_page_section_name=1000&federated_search_id=f280c5e3-f087-4215-b21f-4a719dcb395f
149.0,¡Habitación individual acogedora en Valencia !,,,,,,,,,valencia,https://www.airbnb.es/rooms/935215810390122055?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-24&source_impression_id=p3_1691085380_DtOdUAXdd06D1zi5&previous_page_section_name=1000&federated_search_id=1cc1cee3-ff85-4e09-8252-c22197462286
157.0,habitación privada duplex con piscina,,,,,,,,,murcia,https://www.airbnb.es/rooms/23484538?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086315_GLMrNkPkpZsUIIq3&previous_page_section_name=1000&federated_search_id=d8c7ef25-0126-4509-83f7-2475e06a1d11
159.0,Habitación Holidays4.,,,,,,,,,andalucia,https://www.airbnb.es/rooms/947081338981239550?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691086469_cEVuYRu1Sz4fgFVx&previous_page_section_name=1000&federated_search_id=7080bf58-dd84-4e58-a33a-bc2f56ca9f1e
175.0,"Preciosa Habitación, en Apartamento familiar",,,,,,,,,valencia,https://www.airbnb.es/rooms/664523688776063343?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691085354_h3CXewe7%2BGxsOo%2FC&previous_page_section_name=1000&federated_search_id=dd8ce12e-78e0-4d89-875e-71889835fd73
181.0,MandalaHomehabitacióncuevita,,,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/902242411826029746?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691086152_aRxCatcjBMmbLOif&previous_page_section_name=1000&federated_search_id=a6941712-f067-45b8-8a9c-74654d86b617
184.0,Habitacion simple en pleno centro de Valencia,,,,,,,,,valencia,https://www.airbnb.es/rooms/14502656?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-02&check_out=2023-10-07&source_impression_id=p3_1691085325_FyAYHxL7D96gV5Cr&previous_page_section_name=1000&federated_search_id=3c2c32f9-e204-49ea-96e9-ed6af4ce4871
188.0,Habitación en zona muy tranquila,,,,,,,,,andalucia,https://www.airbnb.es/rooms/44652069?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-31&check_out=2023-09-05&source_impression_id=p3_1691086477_U5hlrbHhaZDuSYNp&previous_page_section_name=1000&federated_search_id=8ba10d56-a89b-4437-85ab-75751c8b3070
189.0,Confortable habitación recién reformada,,,,,,,,,madrid,https://www.airbnb.es/rooms/53979963?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086077_ZGPM4JrM9DR6PSyO&previous_page_section_name=1000&federated_search_id=bc0595a8-b236-4d91-851e-6f8b0e410d75
195.0,Acogedora habitación en madrid,,,,,,,,,madrid,https://www.airbnb.es/rooms/24348092?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086073_p%2B3X6HWKfORfZMwQ&previous_page_section_name=1000&federated_search_id=d5aaba37-321c-4928-b31b-0640a972322a
196.0,Habitacion acogedora.,,,,,,,,,valencia,https://www.airbnb.es/rooms/928640372725645159?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691085380_RZz7d%2FNYFZR0ecBR&previous_page_section_name=1000&federated_search_id=1cc1cee3-ff85-4e09-8252-c22197462286
198.0,Habitación privada in Rioja + Visita a bodega,,,,,,,,,pais_vasco,https://www.airbnb.es/rooms/38374236?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691085652_Ms03%2BfETy4AeoEz3&previous_page_section_name=1000&federated_search_id=8ff9367c-5c5d-4896-ac59-bce6db020d4d
