,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,precio,titulo_anuncio,comunidad,url,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones
24,24.0,24.0,24.0,24.0,75€,Apart. La Pera en Rincón de Soto VT-LR 785,la_rioja,https://www.airbnb.es/rooms/31740770?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691085791_bElkwa8mh%2BV%2BEJ2M&previous_page_section_name=1000&federated_search_id=f36f17f3-857b-4792-bf42-9cb7f4788e6f,piso,6 viajeros,3 dormitorios,5 camas,1 baño,"4,77",139
25,25.0,25.0,25.0,25.0,60€,Vivienda uso turístico. Código: VUT-CO-003136,galicia,https://www.airbnb.es/rooms/43858441?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-16&check_out=2023-10-21&source_impression_id=p3_1691085427_LtazUs6a59Nl8eVU&previous_page_section_name=1000&federated_search_id=43f0cc97-1db5-4878-899d-4b46768c551e,vivienda,6 viajeros,3 dormitorios,4 camas,1 baño,"4,89",64
26,26.0,26.0,26.0,26.0,100€,Casa de Campo en Finca Ecológica,extremadura,https://www.airbnb.es/rooms/41072685?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691086363_KD3dXtS4Q0SC0Ut2&previous_page_section_name=1000&federated_search_id=969fb88e-1bfc-4875-8cbe-da527822721e,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,93",43
27,27.0,27.0,27.0,27.0,32€,Habitación de alquiler Valencia,comunidad_valenciana,https://www.airbnb.es/rooms/691905168684862464?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086169_BTTyetEnrnC09Pir&previous_page_section_name=1000&federated_search_id=0473af94-4fbe-46a2-813f-395a7f33739f,,,,,,,
28,28.0,28.0,28.0,28.0,,,castilla_la_mancha,https://www.airbnb.es/rooms/19756545?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-13&source_impression_id=p3_1691086248_m%2B3tqHKNCOjiOqSO&previous_page_section_name=1000&federated_search_id=6f2fcb2c-fcb2-48cb-ba68-910bb71aa379,,,,,,,
29,29.0,29.0,29.0,29.0,60€,Confort y tranquilo,navarra,https://www.airbnb.es/rooms/871700689864755825?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691085715_V%2BgISbIiQ%2Be98aGM&previous_page_section_name=1000&federated_search_id=56966045-f5af-4a4f-8d06-633587c2fd56,piso,4 viajeros,2 dormitorios,3 camas,1 baño,"4,44",16
30,30.0,30.0,30.0,30.0,130€,Duplex en la playa de Berria,cantabria,https://www.airbnb.es/rooms/32731020?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-30&check_out=2023-11-04&source_impression_id=p3_1691085563_%2Fd5WVLBwWSqbnPf%2F&previous_page_section_name=1000&federated_search_id=1b0a8c5d-f6ef-4448-8f01-f1ff3664631d,piso,7 viajeros,3 dormitorios,4 camas,2 baños,"4,52",84
31,31.0,31.0,31.0,31.0,80€,Agradable casa rural con chimenea interior,asturias,https://www.airbnb.es/rooms/662982416622760076?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-04&source_impression_id=p3_1691085514_mdlyVB2JSqgwvpZi&previous_page_section_name=1000&federated_search_id=effd06b7-7485-4463-845b-a96e69a71567,vivienda,2 viajeros,1 dormitorio,1 cama,1 baño,"4,86",21
32,32.0,32.0,32.0,32.0,,,cantabria,https://www.airbnb.es/rooms/947144961523434708?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1691085597_Uzs2h8B095sF%2BGiK&previous_page_section_name=1000&federated_search_id=38df2e61-481e-4b91-98de-a36ed2f715ac,,,,,,,
33,33.0,33.0,33.0,33.0,141€,"Suíte Sant Sebastià con jacuzzi, sauna y jardín",cataluña,https://www.airbnb.es/rooms/47563319?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691085893_gkHgBJHjaWrujCbf&previous_page_section_name=1000&federated_search_id=5ac28c9a-32b9-4268-82aa-363072527ba9,Oliver,2 viajeros,1 dormitorio,1 cama,1 baño,"4,89",230
34,34.0,34.0,34.0,34.0,84€,Preciosa Casa de Invitados con piscina y barbacoa,castilla_la_mancha,https://www.airbnb.es/rooms/704388483346563350?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691086240_FR51cXS8GVIoWoYE&previous_page_section_name=1000&federated_search_id=965f6993-bec5-49a6-a3af-420b949734a7,casa de invitados,2 viajeros,1 dormitorio,1 cama,"1,5 baños","4,70",10
35,35.0,35.0,35.0,35.0,90€,Casa dels Tarongers / Blaues Aptm. für 2 Personen,baleares,https://www.airbnb.es/rooms/4960234?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-25&check_out=2023-10-30&source_impression_id=p3_1691086665_TDa9O%2Bh8tauujisu&previous_page_section_name=1000&federated_search_id=46231895-ddc5-409d-ac67-51cc9d473d85,suite con entrada independiente,2 viajeros,1 dormitorio,1 cama,1 baño,"4,87",91
36,36.0,36.0,36.0,36.0,55€,Casa Rural Ariana,comunidad_valenciana,https://www.airbnb.es/rooms/861504095712218896?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691086173_gx2Pmvfq3G0DPPia&previous_page_section_name=1000&federated_search_id=ae0a102e-1015-41c0-9776-8a1a955aa239,casa rural,5 viajeros,2 dormitorios,3 camas,1 baño,"5,0",3
37,37.0,37.0,37.0,37.0,116€,Cabaña Camino Viejo,comunidad_valenciana,https://www.airbnb.es/rooms/41173870?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1691086161_XRxQKnfMQTO0TRs%2B&previous_page_section_name=1000&federated_search_id=394e1388-1978-460e-be66-1d6935e2084a,cabaña,2 viajeros,1 dormitorio,1 cama,"1,5 baños","5,0",78
38,38.0,38.0,38.0,38.0,95€,Casa Kaira (casa Entera)Artist home,extremadura,https://www.airbnb.es/rooms/7437697?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691086363_hcCwQIZ2P8fpCli2&previous_page_section_name=1000&federated_search_id=969fb88e-1bfc-4875-8cbe-da527822721e,vivienda,4 viajeros,3 dormitorios,7 camas,1 baño,"4,73",176
39,39.0,39.0,39.0,39.0,25€,Casita acogedora,castilla_y_leon,https://www.airbnb.es/rooms/872861397853915188?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-17&source_impression_id=p3_1691085980_TDSUVecnCd2NTZUu&previous_page_section_name=1000&federated_search_id=5c608d43-2220-4bac-92b4-438c79a82ae1,vivienda,7 viajeros,2 dormitorios,7 camas,1 baño,"4,63",19
40,40.0,40.0,40.0,40.0,34€,Apartamento con vistas a Sierra de Gredos,extremadura,https://www.airbnb.es/rooms/26908552?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086350_dvwOiLed8RbTAtu9&previous_page_section_name=1000&federated_search_id=758af101-3208-40d9-914c-7d850718288d,piso,4 viajeros,2 dormitorios,3 camas,2 baños,"4,71",24
41,41.0,41.0,41.0,41.0,54€,Casa Vacacional con vistas al Mar,galicia,https://www.airbnb.es/rooms/706480831718262975?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-15&check_out=2023-09-21&source_impression_id=p3_1691085439_HhbY9%2ByRiS6NgakL&previous_page_section_name=1000&federated_search_id=341d5032-57e7-4880-aa07-61633be520b1,vivienda,3 viajeros,1 dormitorio,2 camas,1 baño,2,evaluaciones
42,42.0,42.0,42.0,42.0,92€,Precioso bungalow dúplex junto a kabila,ceuta,https://www.airbnb.es/rooms/930251900462303445?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-20&source_impression_id=p3_1691086547_DJ3mkyqknioy3cEx&previous_page_section_name=1000&federated_search_id=b11a0d50-4aac-4219-9e9c-a151c317ad74,vivienda,4 viajeros,1 dormitorio,1 cama,1 baño,1,evaluación
43,43.0,43.0,43.0,43.0,69€,El Mirador de Cardes,asturias,https://www.airbnb.es/rooms/37310982?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691085522_L79IM6t5iiovEmCl&previous_page_section_name=1000&federated_search_id=b9dc1286-0fd6-4055-8c69-8bcdc478d9e6,,,,,,,
44,44.0,44.0,44.0,44.0,30€,Habitación luna,comunidad_valenciana,https://www.airbnb.es/rooms/880407542121788253?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086161_IJaUn9RhweOoFyBJ&previous_page_section_name=1000&federated_search_id=394e1388-1978-460e-be66-1d6935e2084a,,,,,,,
45,45.0,45.0,45.0,45.0,150€,"""LOS LOCOS"" frente al mar ""frente a la playa",cantabria,https://www.airbnb.es/rooms/49015451?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-28&source_impression_id=p3_1691085558_HDEsTuqzpeHinKWa&previous_page_section_name=1000&federated_search_id=a345c60f-4489-4ad4-a674-282fcc165fbd,piso,5 viajeros,3 dormitorios,4 camas,1 baño,"4,92",87
46,46.0,46.0,46.0,46.0,,,comunidad_valenciana,https://www.airbnb.es/rooms/941922709927241366?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-28&source_impression_id=p3_1691086148_qPeIzUhtqQljnOvI&previous_page_section_name=1000&federated_search_id=4c0865b2-4c53-4972-855b-c03ebb5e23fd,,,,,,,
47,47.0,47.0,47.0,47.0,84€,Apartamentos Estela de Altamira de 1 habitación,cantabria,https://www.airbnb.es/rooms/43064745?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-22&source_impression_id=p3_1691085575_VSNigJmPMLiuhleH&previous_page_section_name=1000&federated_search_id=f0f2ca5a-c346-4cd8-a53e-49ad37d6616d,apto,2 viajeros,1 dormitorio,1 cama,1 baño,"4,85",68
48,48.0,48.0,48.0,48.0,91€,"Céntrico,tranquilo,garaje,colchones visco y wifi",la_rioja,https://www.airbnb.es/rooms/32355724?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085787_NCe1ZYs640aHgIHv&previous_page_section_name=1000&federated_search_id=01f2f90f-8128-42ac-9f99-def30dbc19e3,piso,8 viajeros,3 dormitorios,4 camas,1 baño,"4,59",394
49,49.0,49.0,49.0,49.0,75€,Casa Rústica Arenas,extremadura,https://www.airbnb.es/rooms/20282920?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1691086370_nuWyr5i3%2BOFdn1mV&previous_page_section_name=1000&federated_search_id=254fdd0c-c9d1-4475-919c-1cf3811de0fc,casa rural,4 viajeros,1 dormitorio,3 camas,1 baño,"4,81",169
