,precio,valoracion,n_evaluaciones,comunidad,url,titulo_anuncio,numero_personas,n_dormitorios,numero_camas,numero_banos
25,,"4,89",9,castilla_y_leon,https://www.airbnb.es/rooms/799712224699780138?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691085967_6bY5m8Rq8DrS9k3B&previous_page_section_name=1000&federated_search_id=06d9905f-cb16-43f3-9f00-0ac4885f83d4,Alojamiento entero: vivienda. Anfitrión: Juan Francisco,2 viajeros,1 dormitorio,1 cama,1 baño
26,38€,"4,55",58,comunidad_valenciana,https://www.airbnb.es/rooms/582406191849717400?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086152_phVAqgajlMS0hyfG&previous_page_section_name=1000&federated_search_id=a6941712-f067-45b8-8a9c-74654d86b617,,,,,
27,,,,madrid,https://www.airbnb.es/rooms/947287215334513462?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086051_hZ4a1E1PGLvWGkod&previous_page_section_name=1000&federated_search_id=1432602d-c107-41c2-8f2d-45d610bcebd2,,,,,
28,115€,"4,86",7,navarra,https://www.airbnb.es/rooms/751302039859239460?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691085711_Y1iic92ygyKSomut&previous_page_section_name=1000&federated_search_id=61caa4df-ea64-4b99-98f1-7952281d9540,Alojamiento entero: vivienda. Anfitrión: Jesús,8 viajeros,4 dormitorios,7 camas,2 baños
29,60€,"4,90",176,cantabria,https://www.airbnb.es/rooms/20958287?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-22&source_impression_id=p3_1691085535_hGgMUvbwWJ2pk530&previous_page_section_name=1000&federated_search_id=1fcac6d3-f472-4967-8fc9-c63e444bb6fd,Alojamiento entero: piso. Anfitrión: Jose Antonio,4 viajeros,1 dormitorio,1 cama,1 baño
30,,"4,88",90,madrid,https://www.airbnb.es/rooms/38863726?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086077_uaUXQuH03Knt7zwz&previous_page_section_name=1000&federated_search_id=bc0595a8-b236-4d91-851e-6f8b0e410d75,Alojamiento entero: piso. Anfitrión: Marta,2 viajeros,1 dormitorio,1 cama,1 baño
31,28€,,,ceuta,https://www.airbnb.es/rooms/947270766772828146?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691086528_NgVdwDI%2BP9xcPtft&previous_page_section_name=1000&federated_search_id=277aed56-87fa-427a-91d7-eaaf0a0a6e7b,,,,,
32,150€,,,galicia,https://www.airbnb.es/rooms/942676786448210872?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691085431_V2TJ8GuMtPp%2F9luE&previous_page_section_name=1000&federated_search_id=e9600b70-d00b-4c0a-be3e-31f2ccd10f32,,,,,
33,55€,"4,89",75,asturias,https://www.airbnb.es/rooms/43697577?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-15&source_impression_id=p3_1691085477_YGlmQIey%2FGri%2Bdgf&previous_page_section_name=1000&federated_search_id=8b80983a-ac9d-4163-b58f-c91dc4489ab7,,,,,
34,45€,"4,50",33,cataluña,https://www.airbnb.es/rooms/25906001?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691085950_NvEP0NXdRC0GQ8HW&previous_page_section_name=1000&federated_search_id=a7c0d776-7f1e-4035-b772-e8c455d40d1c,,,,,
35,,"5,0",98,andalucia,https://www.airbnb.es/rooms/32164933?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691086452_ozXX1fapzhn85fSi&previous_page_section_name=1000&federated_search_id=eaa6ebec-6e46-48f9-a710-64cfd7c0edd0,Alojamiento entero: piso. Anfitrión: Enrique,3 viajeros,1 dormitorio,2 camas,1 baño
36,70€,"5,0",5,murcia,https://www.airbnb.es/rooms/886191951446931117?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-20&source_impression_id=p3_1691086311_2EgWxEpAgcDM5axc&previous_page_section_name=1000&federated_search_id=6a4e4557-dac3-4da7-ad4a-872eb39fcd81,Alojamiento entero: piso. Anfitrión: Justina,4 viajeros,1 dormitorio,1 cama,1 baño
37,168€,"3,40",10,la_rioja,https://www.airbnb.es/rooms/31872304?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691085814_u94Ok%2BWYPKxmhuC%2B&previous_page_section_name=1000&federated_search_id=fb78098c-a562-4692-9941-22ed2ca5ef89,Alojamiento entero: adosado. Anfitrión: Ana,8 viajeros,4 dormitorios,8 camas,3 baños
38,34€,1,evaluación,melilla,https://www.airbnb.es/rooms/812234453496227445?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-08&check_out=2023-08-15&source_impression_id=p3_1691086569_15Vir2dqUc3Ir2bU&previous_page_section_name=1000&federated_search_id=e77652f9-cf3d-48b8-be8c-28fb636e180c,,,,,
39,75€,"4,95",41,aragon,https://www.airbnb.es/rooms/48132653?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-13&check_out=2023-09-18&source_impression_id=p3_1691085853_nZ8MM0zjMxkG4Xj4&previous_page_section_name=1000&federated_search_id=ba022d98-3c62-4067-8336-c263ecc4524d,Alojamiento entero: vivienda. Anfitrión: Javier,4 viajeros,1 dormitorio,1 cama,1 baño
40,47€,,,navarra,https://www.airbnb.es/rooms/936918347945379571?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-04&source_impression_id=p3_1691085744_NyHugrV4UY2u6unl&previous_page_section_name=1000&federated_search_id=5fc13d75-1b8a-4ea6-8b01-649fb2eda7e8,,,,,
41,122€,"4,85",74,castilla_y_leon,https://www.airbnb.es/rooms/49301670?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-29&check_out=2023-10-04&source_impression_id=p3_1691086033_Sl4C1lsnCIp5rINn&previous_page_section_name=1000&federated_search_id=4922aeb6-8bb7-42c2-9e14-844bd77df82a,Alojamiento entero: vivienda. Anfitrión: Ángel,6 viajeros,2 dormitorios,3 camas,"1,5 baños"
42,74€,"4,93",80,cataluña,https://www.airbnb.es/rooms/33938145?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691085893_UDGr%2FCrNlQg7YlE3&previous_page_section_name=1000&federated_search_id=5ac28c9a-32b9-4268-82aa-363072527ba9,Alojamiento entero: suite con entrada independiente. Anfitrión: Elisi,3 viajeros,1 dormitorio,3 camas,1 baño
43,,,,andalucia,https://www.airbnb.es/rooms/949143740005149475?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-10&source_impression_id=p3_1691086432_5H4ILlH0apJUJnJc&previous_page_section_name=1000&federated_search_id=d5e92cc4-b63f-4524-8b64-f1d3557f1087,,,,,
44,,"4,95",19,baleares,https://www.airbnb.es/rooms/44346498?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-05&check_out=2023-09-10&source_impression_id=p3_1691086678_keWgyDzGjXuHFeJt&previous_page_section_name=1000&federated_search_id=ae9f73bc-5549-44a7-98be-ce3291469e81,,,,,
