,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,precio,comunidad,url
758,Casa con jardín en La Ñora,,,,,,,,,murcia,https://www.airbnb.es/rooms/41475808?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-09-02&source_impression_id=p3_1691086315_eMtTA7VR6%2BdLdPPR&previous_page_section_name=1000&federated_search_id=d8c7ef25-0126-4509-83f7-2475e06a1d11
759,"Tranquil Mountain Escape, Parque Natural Dels Ports",bungalow,4 viajeros,2 dormitorios,3 camas,1 baño,"4,96",48,75€,aragon,https://www.airbnb.es/rooms/33660377?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691085853_ETK8u3fC3jd6rTRB&previous_page_section_name=1000&federated_search_id=ba022d98-3c62-4067-8336-c263ecc4524d
760,Relájate mirando al Cantábrico,vivienda vacacional,6 viajeros,3 dormitorios,4 camas,2 baños,"5,0",27,130€,asturias,https://www.airbnb.es/rooms/657771812617779672?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-17&source_impression_id=p3_1691085514_XCsbk5PTHKY6kUXk&previous_page_section_name=1000&federated_search_id=effd06b7-7485-4463-845b-a96e69a71567
761,Apartamento en Playa de Berria Arriba,piso,4 viajeros,1 dormitorio,2 camas,1 baño,"4,89",122,80€,cantabria,https://www.airbnb.es/rooms/8952274?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-06&source_impression_id=p3_1691085588_oxQGYUdf6GYVdnnw&previous_page_section_name=1000&federated_search_id=6bdde363-927f-41b0-8b02-718ea1927f4a
762,"Céntrico,garaje,wifi,sofá y colchones visco nuevos",vivienda,8 viajeros,4 dormitorios,4 camas,1 baño,"4,62",164,50€,la_rioja,https://www.airbnb.es/rooms/51654190?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1691085803_vSgOmznUX9suuvHr&previous_page_section_name=1000&federated_search_id=c932d150-9a74-43f5-8ab2-bd4287d58020
763,MasLesForques_Seròs,vivienda,10 viajeros,3 dormitorios,8 camas,2 baños,"4,87",70,280€,aragon,https://www.airbnb.es/rooms/23624473?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691085884_KAdeSRT5s5rEHi6B&previous_page_section_name=1000&federated_search_id=415aca3a-0056-44d2-aef3-28d018fdea57
764,Gran terracota doble en villa en suite,,,,,,,,,andalucia,https://www.airbnb.es/rooms/5486690?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086444_w40zrRYNCmsFwuzu&previous_page_section_name=1000&federated_search_id=9d065b67-da3f-403f-a4b7-9a498a2c96b0
765,Tiny Yuca,,,,,,,,,cantabria,https://www.airbnb.es/rooms/928062786010383529?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-10&source_impression_id=p3_1691085549_LxvKIeYNWg%2FH5ZWA&previous_page_section_name=1000&federated_search_id=6b3ce089-ee17-43bc-b1b0-13e06f17bd5f
766,dormitorio en cal nuvuls,,,,,,,,,cataluña,https://www.airbnb.es/rooms/923147439433671861?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691085906_daq1Mx1m4AeBt3DZ&previous_page_section_name=1000&federated_search_id=2e9babc7-9a92-4a34-9951-210ff2270237
767,Habitación doble a 5 min. del centro andando.,,,,,,,,,murcia,https://www.airbnb.es/rooms/39112694?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086307_UlJitprxcYmvK5np&previous_page_section_name=1000&federated_search_id=e746460b-dc2b-4d18-889b-2ca3ee297bd8
768,Estilosa CASA GOLF suite en Pamplona,,,,,,,,,navarra,https://www.airbnb.es/rooms/25443929?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085695_z7W02FoSJfOl6ly%2F&previous_page_section_name=1000&federated_search_id=a6a27ac9-d07a-4dba-b14f-3439ecc0647b
769,Apartamento-Loft en el corazón de Murcia,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,86",43,46€,murcia,https://www.airbnb.es/rooms/17544974?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086315_TbfCaYDZ1CHFmXor&previous_page_section_name=1000&federated_search_id=d8c7ef25-0126-4509-83f7-2475e06a1d11
770,Habitación acogedora,,,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/38020269?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086165_rXh7P9DAFdCLUZVc&previous_page_section_name=1000&federated_search_id=959d051f-edb6-4036-b150-c3c8401069dc
771,,,,,,,,,,la_rioja,https://www.airbnb.es/rooms/40644010?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-16&check_out=2023-10-21&source_impression_id=p3_1691085818_phJDXdFyLfFX9Fo4&previous_page_section_name=1000&federated_search_id=922e5e28-4e5e-4666-9196-22f229771e43
772,Agradable espacio en entorno natural con Parking,cabaña,3 viajeros,1 dormitorio,2 camas,1 baño,"4,83",119,80€,comunidad_valenciana,https://www.airbnb.es/rooms/51757902?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086144_7p18FHBlQBEACe7i&previous_page_section_name=1000&federated_search_id=55488ee9-1454-4543-999c-a1237a6e6007
773,Bed&Breakfast en Delta del Ebro,,,,,,,,,cataluña,https://www.airbnb.es/rooms/886861418819666979?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-31&check_out=2023-09-05&source_impression_id=p3_1691085920_Jz1JRgVktZnTwKTB&previous_page_section_name=1000&federated_search_id=e00e7f7d-9e26-460f-8f35-419ad1c98ee5
774,Acogedor apartamento con piscina en Ramales,piso,4 viajeros,1 dormitorio,1 cama,1 baño,"5,0",4,100€,cantabria,https://www.airbnb.es/rooms/932606311523182044?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691085605_By2XrRQqTVKnkAHG&previous_page_section_name=1000&federated_search_id=165772be-497f-4967-b576-093d06c97458
775,Piso Pineta,piso,3 viajeros,1 dormitorio,1 cama,1 baño,,,,aragon,https://www.airbnb.es/rooms/942735952884585566?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691085873_3WhmfCV7oiZ4QhtT&previous_page_section_name=1000&federated_search_id=a37df857-e886-40ea-af94-2a6b7a0ca5ad
776,La Casa De Laura(II) Precioso apto. con patio,piso,3 viajeros,2 dormitorios,3 camas,1 baño,"5,0",14,44€,murcia,https://www.airbnb.es/rooms/707089265435402338?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691086311_z0Go8kEiYSjvXoG4&previous_page_section_name=1000&federated_search_id=6a4e4557-dac3-4da7-ad4a-872eb39fcd81
777,Habitación grande y muy tranquila cerca de tren,,,,,,,,,madrid,https://www.airbnb.es/rooms/618114502289709074?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086056_t0IF%2FAPyNFYxEyRK&previous_page_section_name=1000&federated_search_id=7271927e-f2e8-462d-bf04-a7a8fb362da9
778,Preciosa casa en Castro Urdiales,,,,,,,,,cantabria,https://www.airbnb.es/rooms/670274430023801614?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085592_OPdJM7FeTM5wtzz3&previous_page_section_name=1000&federated_search_id=c6d28f05-53da-4ea3-bef7-2cc4337ed57b
779,MADRID NORTE ARTAMENTO ALEGRE Y FUNCIONAL,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,70",10,,madrid,https://www.airbnb.es/rooms/53876705?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086102_4VUXQuM%2BSYbXWAIj&previous_page_section_name=1000&federated_search_id=bc7f9b21-13bf-489c-85b4-148ad3231254
780,Casa Rural Tinguatón 2,piso,5 viajeros,2 dormitorios,3 camas,1 baño,,,,castilla_la_mancha,https://www.airbnb.es/rooms/948731317266477847?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1691086228_nbZOxVu2hXqk9jvC&previous_page_section_name=1000&federated_search_id=0c549cdd-86e4-4555-beaf-36e438b3cc66
781,"A. Arquímedes 3-2, Melilla a un paso",piso,4 viajeros,2 dormitorios,3 camas,1 baño,1,evaluación,86€,melilla,https://www.airbnb.es/rooms/34251390?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-01&check_out=2024-01-07&source_impression_id=p3_1691086613_OwC6X%2FAKTBsj6tOH&previous_page_section_name=1000&federated_search_id=b67421ed-36a3-4506-a32a-337d22d75b73
782,Habitación en paraje natural pantano de San juan.,,,,,,,,,castilla_y_leon,https://www.airbnb.es/rooms/896913220734429505?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085997_Qe9fNzVpcUEuZCI%2F&previous_page_section_name=1000&federated_search_id=26d3c233-9c23-44d6-9a61-e538221c3edc
783,Loft 1a línea puerto deportivo y vistas EBI1286,loft,2 viajeros,1 dormitorio,1 cama,1 baño,"4,87",90,90€,pais_vasco,https://www.airbnb.es/rooms/39461039?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1691085656_WgrM5RVD6GXTPZQ3&previous_page_section_name=1000&federated_search_id=ebd8fb6f-1272-4b76-a753-0789fcf83d2b
784,Apartamento cerca al mar 15m,piso,4 viajeros,1 dormitorio,1 cama,1 baño,,,,ceuta,https://www.airbnb.es/rooms/947020775346315982?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086509_%2BjuuPW%2BgczVje50G&previous_page_section_name=1000&federated_search_id=057217bf-ed44-4be3-b4c8-3e414d58f9cd
785,Habitación Individual Molino aislado Naturaleza,,,,,,,,,asturias,https://www.airbnb.es/rooms/701901167614579636?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-09-01&source_impression_id=p3_1691085489_ZOvrQgclX%2Ft9YFc5&previous_page_section_name=1000&federated_search_id=aaa68aae-f7ed-43bf-bd1f-48c0b360ff6a
786,El rincón del amor,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,91",11,144€,castilla_la_mancha,https://www.airbnb.es/rooms/855729151864681537?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691086244_WYQHzNXwLo58Nz1o&previous_page_section_name=1000&federated_search_id=39cbfae6-f721-4263-a31e-4869c5a4f1f2
787,Cabaña solitaria con vistas a la sierra y piscina,Fernando,2 viajeros,1 dormitorio,1 cama,1 baño,"4,86",22,110€,castilla_la_mancha,https://www.airbnb.es/rooms/752132604490641283?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1691086216_w23YgpxebN6%2BWio5&previous_page_section_name=1000&federated_search_id=260d87fd-2bb8-4790-ab75-cb4042e7eb45
788,Cuarto de matrimonio (con cerradura).,,,,,,,,,asturias,https://www.airbnb.es/rooms/894694279326163833?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691085502_oGaahtAZJbWPQMZy&previous_page_section_name=1000&federated_search_id=8cef3447-d6bb-482e-9cfa-cc193ebb9912
789,Cabaña rústica El Til ·ler,cabaña,4 viajeros,1 dormitorio,2 camas,1 baño,"4,85",255,62€,cataluña,https://www.airbnb.es/rooms/19602950?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-04&source_impression_id=p3_1691085906_8qUaCvxHC4BwN4uK&previous_page_section_name=1000&federated_search_id=2e9babc7-9a92-4a34-9951-210ff2270237
790, Cómoda cama tamaño queen del centro de la ciudad de Alcobendas,,,,,,,,,madrid,https://www.airbnb.es/rooms/42469830?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086102_lDV5Ib3nX4b3A1A3&previous_page_section_name=1000&federated_search_id=bc7f9b21-13bf-489c-85b4-148ad3231254
791,Cabo Lastres,Concepción,2 viajeros,1 dormitorio,1 cama,1 baño,2,evaluaciones,91€,asturias,https://www.airbnb.es/rooms/914465811115465483?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1691085498_NHWxaqnss9xVeo1Y&previous_page_section_name=1000&federated_search_id=42ea6fea-c7e4-4482-94ab-997d9fc02a58
792,Habitación pequeña para dos personas.,Hernán,2 viajeros,1 dormitorio,1 cama,1 baño compartido,"4,65",198,50€,cataluña,https://www.airbnb.es/rooms/24405063?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1691085937_rtzNdBka9DapEdMl&previous_page_section_name=1000&federated_search_id=623fae17-3a89-44c7-b82e-e76137125768
793,Apartamento amueblado Anis 2 Hay Al Matar / Wifi,piso,6 viajeros,2 dormitorios,3 camas,1 baño,1,evaluación,65€,melilla,https://www.airbnb.es/rooms/728355671757409704?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691086621_%2FbEf6VM49vxMtFqU&previous_page_section_name=1000&federated_search_id=d7cf7e74-98c3-4468-86dd-76e02afbf9b3
794,Apartamento Villamediana Suite,piso,4 viajeros,1 dormitorio,3 camas,1 baño,"4,80",10,114€,la_rioja,https://www.airbnb.es/rooms/729626745682204039?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085799_zBJKkC0BlWcAUQrx&previous_page_section_name=1000&federated_search_id=678c079a-0bb1-4ea7-8a80-33c5cc3f232f
795,cabaña entre mar y montaña,cabaña,4 viajeros,2 dormitorios,3 camas,"1,5 baños","5,0",20,30€,aragon,https://www.airbnb.es/rooms/807300711906529102?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-28&check_out=2023-10-03&source_impression_id=p3_1691085888_79kV730PZCK6130K&previous_page_section_name=1000&federated_search_id=f990870d-b08c-461d-b466-25185206e6c1
796,"Piso con terrazas,precioso entorno.",piso,4 viajeros,2 dormitorios,3 camas,2 baños,"4,93",124,49€,la_rioja,https://www.airbnb.es/rooms/8798615?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-08&check_out=2023-09-14&source_impression_id=p3_1691085752_30mHR9rZMqhtzAG1&previous_page_section_name=1000&federated_search_id=1ba26053-784a-4178-b2ad-a01a6c971a28
797,Dúplex Baldisera con jardín,adosado,6 viajeros,3 dormitorios,7 camas,2 baños,"4,25",204,91€,navarra,https://www.airbnb.es/rooms/4143109?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1691085731_gnZ4QyCqDdLKpnVx&previous_page_section_name=1000&federated_search_id=db3936bb-34ca-4be5-bbf1-72b0102a1134
798,APARTAMENTO RURAL,piso,4 viajeros,2 dormitorios,3 camas,1 baño,"4,48",226,51€,cataluña,https://www.airbnb.es/rooms/7127581?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1691085924_lqw4LD7RU72PqdK5&previous_page_section_name=1000&federated_search_id=c03c9b9c-a2ce-4fb0-9e27-34ce978f22e4
799,Cal Macià,piso,3 viajeros,1 dormitorio,1 cama,1 baño,"4,50",22,39€,aragon,https://www.airbnb.es/rooms/19028967?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691085837_93gZq2R1qdXHYP1A&previous_page_section_name=1000&federated_search_id=f62aab82-e762-443f-9b72-a933a55056aa
800,APARTAMENTO IDEAL EN LA BARQUERA,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,89",176,65€,cantabria,https://www.airbnb.es/rooms/26862846?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-24&source_impression_id=p3_1691085567_lQIjTeQ0eMC6GKA5&previous_page_section_name=1000&federated_search_id=2389c15b-9aec-4d72-8904-d53357b810db
801,Hermosa habitación en Alcorcón,,,,,,,,,madrid,https://www.airbnb.es/rooms/801283283640434260?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086068_q9g0%2FmDlylNcKLOe&previous_page_section_name=1000&federated_search_id=b11f96f9-d72b-4e62-ab5c-9f7f56efde45
802,Casa Patio Sajazarra,vivienda,2 viajeros,1 dormitorio,1 cama,1 baño,"4,91",70,75€,la_rioja,https://www.airbnb.es/rooms/5166606?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-26&check_out=2023-10-02&source_impression_id=p3_1691085795_RFgJjVH25DbBipCt&previous_page_section_name=1000&federated_search_id=00622a2c-a204-437a-b9a8-6dfbe9a4e0f5
803,"Acogedora habitación, céntrica y tranquila",,,,,,,,,la_rioja,https://www.airbnb.es/rooms/19641367?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085783_Y6jQRUhnsID5KM4e&previous_page_section_name=1000&federated_search_id=9615b049-1d79-4dd2-a8a5-7779e5bc11ac
804,Alojamiento residencial entero. Vistas al lago,piso,3 viajeros,1 dormitorio,2 camas,1 baño,"4,68",37,,castilla_y_leon,https://www.airbnb.es/rooms/766738701869963501?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-18&check_out=2023-08-25&source_impression_id=p3_1691086017_IaJB3nmGpkGXCTzk&previous_page_section_name=1000&federated_search_id=8a45eb79-1601-4fac-b762-d4a4b5548806
805,Un espacio con encanto para disfrutar.,,,,,,,,,castilla_y_leon,https://www.airbnb.es/rooms/28981820?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086025_JBqcJSCpwcRf5Enl&previous_page_section_name=1000&federated_search_id=020f3247-d7ea-4824-8c76-26dc7189de1e
806,Happy House Palma,,,,,,,,,baleares,https://www.airbnb.es/rooms/924565688779719747?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-28&source_impression_id=p3_1691086669_cLb4OTg9LGa1uWt7&previous_page_section_name=1000&federated_search_id=4f07e5b3-3748-41fe-8903-b1347c2703d8
807,Apartamentos El Llanin()Nieda,piso,2 viajeros,1 dormitorio,2 camas,1 baño,"4,80",214,,asturias,https://www.airbnb.es/rooms/21222444?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-13&check_out=2023-09-18&source_impression_id=p3_1691085502_Dzhl6GEoOTAzx2iC&previous_page_section_name=1000&federated_search_id=8cef3447-d6bb-482e-9cfa-cc193ebb9912
808,Tienda Bell,Kampaoh,2 viajeros,1 dormitorio,1 cama,1 baño compartido,"4,73",11,,aragon,https://www.airbnb.es/rooms/852667794040539420?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085865_fVISOzNKSoUyluSP&previous_page_section_name=1000&federated_search_id=58c7cf4e-4087-4c1f-a350-353ce9ffb2fd
809,El Ciprés Arenas,vivienda,4 viajeros,2 dormitorios,3 camas,1 baño,,,,cantabria,https://www.airbnb.es/rooms/922297398788172416?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-08&check_out=2023-08-13&source_impression_id=p3_1691085563_Poe91NwcvnKTA80H&previous_page_section_name=1000&federated_search_id=1b0a8c5d-f6ef-4448-8f01-f1ff3664631d
810,Apartamento en Marina Smir Mdiq,piso,5 viajeros,2 dormitorios,3 camas,2 baños,2,evaluaciones,94€,ceuta,https://www.airbnb.es/rooms/918073299659392075?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086528_gsW9yVa7QxQJrLE8&previous_page_section_name=1000&federated_search_id=277aed56-87fa-427a-91d7-eaaf0a0a6e7b
811,"Agradable casa rural con barbacoa, chimenea…",casa rural,4 viajeros,3 dormitorios,4 camas,1 baño,"4,56",18,64€,castilla_y_leon,https://www.airbnb.es/rooms/625007226835277966?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691086033_WPtq1Zt2cEv5rmPk&previous_page_section_name=1000&federated_search_id=4922aeb6-8bb7-42c2-9e14-844bd77df82a
812,Acogedora casa en centro Mallorca- Reg. T. ET/3349,vivienda,5 viajeros,4 dormitorios,4 camas,1 baño,"4,67",156,80€,baleares,https://www.airbnb.es/rooms/1132308?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-02&check_out=2023-12-09&source_impression_id=p3_1691086626_4cI9SjZXSjkY7cay&previous_page_section_name=1000&federated_search_id=25d6f8ef-1426-4009-a1a6-b007ee094b9b
813,Habitación tranquila,,,,,,,,,madrid,https://www.airbnb.es/rooms/705573016739636317?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-08&check_out=2023-08-13&source_impression_id=p3_1691086060_bYMMCPjiWYmWUxZo&previous_page_section_name=1000&federated_search_id=c8bcf9b3-48c9-4dfb-a38a-4645fccc79f6
814,Lugar ideal para escapada en la sierra,KMC La Sierra,2 viajeros,1 dormitorio,1 cama,1 baño privado,"5,0",10,63€,castilla_y_leon,https://www.airbnb.es/rooms/687445716215494825?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085980_5i4XVHIeHA4N2FfQ&previous_page_section_name=1000&federated_search_id=5c608d43-2220-4bac-92b4-438c79a82ae1
815,Casa de campo con piscina y BBQ,vivienda,5 viajeros,2 dormitorios,4 camas,2 baños,,,,murcia,https://www.airbnb.es/rooms/876133039849452284?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1691086327_W4Ko6ab53Iurcq%2By&previous_page_section_name=1000&federated_search_id=bdea0111-397a-49c2-b9cd-2aa51a1bbf54
816,"Ronda Sur con garaje gratis, ideal parejas",piso,4 viajeros,1 dormitorio,2 camas,1 baño,"4,85",273,59€,murcia,https://www.airbnb.es/rooms/6153198?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691086295_1zb8GA6tX6RGuzlL&previous_page_section_name=1000&federated_search_id=bb4b79f6-2eab-4faa-a03c-305e3ae7e76a
817,Estudio pequeño y lindo,piso,2 viajeros,Estudio,1 cama,1 baño,,,,madrid,https://www.airbnb.es/rooms/947953482288623478?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-17&source_impression_id=p3_1691086107_Cvlnkh5atP0N3RCj&previous_page_section_name=1000&federated_search_id=493f7c51-32e1-4dc5-aecc-2cb8458a0b47
818,Hostal Casa Chimo,,,,,,,,,aragon,https://www.airbnb.es/rooms/52363364?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691085849_mP%2B2U0qmoHrkNOHB&previous_page_section_name=1000&federated_search_id=9e8bebd6-f01c-4788-ae07-7f837bb5f471
819,Acogedora cabaña en plena sierra de Ancares,cabaña,4 viajeros,1 dormitorio,2 camas,1 baño,"4,69",168,95€,galicia,https://www.airbnb.es/rooms/29901904?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691085423_%2Berk%2BTjm%2BtPDulsk&previous_page_section_name=1000&federated_search_id=1ff38b49-fee4-4bbe-9f77-4d42073c5db1
820,Apartamento con vistas a tres continentes.,loft,2 viajeros,1 dormitorio,1 cama,1 baño,"4,66",123,99€,andalucia,https://www.airbnb.es/rooms/18405830?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086465_vHx%2F26kBEytaxWGF&previous_page_section_name=1000&federated_search_id=169d9bbd-c634-402b-b9a1-333da7c9ec2d
821,Casa Mawi,piso,4 viajeros,2 dormitorios,3 camas,1 baño,,,,pais_vasco,https://www.airbnb.es/rooms/944829940764325935?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691085624_n%2FLIGUpgLgL8O%2BRb&previous_page_section_name=1000&federated_search_id=f145e382-508d-4b80-8445-d3e62666a539
822,"Paz, naturaleza, vistas al mar y cabras",Nadine,3 viajeros,1 dormitorio,2 camas,1 baño,"4,92",12,35€,aragon,https://www.airbnb.es/rooms/834581149395922421?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-31&source_impression_id=p3_1691085865_m%2FO%2BFbIPNRfLrkK7&previous_page_section_name=1000&federated_search_id=58c7cf4e-4087-4c1f-a350-353ce9ffb2fd
823,El granero del Parrache,Javier,4 viajeros,1 dormitorio,2 camas,1 baño,"4,94",64,75€,castilla_y_leon,https://www.airbnb.es/rooms/680138822547739594?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691085989_xA5DsqtWH4ib1NHQ&previous_page_section_name=1000&federated_search_id=a15937ca-4c81-47d0-8fcc-29b6f458c6b3
