,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,precio,comunidad,url
1262,Casa Rural Cale. OropesaToledo,Kristal,6 viajeros,3 dormitorios,6 camas,1 baño,,,,extremadura,https://www.airbnb.es/rooms/948434015490789857?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086350_oX0Z4dEO%2FFddrVDx&previous_page_section_name=1000&federated_search_id=758af101-3208-40d9-914c-7d850718288d
1263,Piso particular en València,,,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/53847254?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086157_kjYZbJ3xzJrIeQfn&previous_page_section_name=1000&federated_search_id=b1b5ebc4-61b5-467b-a1d2-d82bcfeb4561
1264,Vistas a las cumbres - Bonito apartamento,,,,,,,,,cataluña,https://www.airbnb.es/rooms/3954374?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-15&check_out=2023-09-21&source_impression_id=p3_1691085924_7%2F3i6R8rw9qXJeb3&previous_page_section_name=1000&federated_search_id=c03c9b9c-a2ce-4fb0-9e27-34ce978f22e4
1265,Estudio/loft con preciosas vistas,loft,3 viajeros,Estudio,2 camas,1 baño,"4,70",10,,aragon,https://www.airbnb.es/rooms/676430279697879462?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-16&source_impression_id=p3_1691085823_RIqRqXfjKGQJ74ca&previous_page_section_name=1000&federated_search_id=3397a057-7f5b-41d5-9b75-362a7ceaedde
1266,Bonito apartamento frente al mar,piso,5 viajeros,1 dormitorio,3 camas,1 baño,"4,45",11,65€,ceuta,https://www.airbnb.es/rooms/30063401?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-15&source_impression_id=p3_1691086486_K8rNJFPQMj8uYt89&previous_page_section_name=1000&federated_search_id=bca7212d-1016-48e6-965a-17e319563bf9
1267,Rioja y Vino,piso,4 viajeros,2 dormitorios,2 camas,1 baño,"4,73",15,61€,la_rioja,https://www.airbnb.es/rooms/52251915?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-06&source_impression_id=p3_1691085810_%2FofNfty%2BP78rR%2FlG&previous_page_section_name=1000&federated_search_id=8389f586-7cd4-487a-8ec0-8f2c0ebb30ca
1268,La Finca de Aurelia y Manolo,vivienda,6 viajeros,3 dormitorios,4 camas,2 baños,,,,galicia,https://www.airbnb.es/rooms/51633146?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-09&source_impression_id=p3_1691085439_%2FcolXG7fL6jVmGJP&previous_page_section_name=1000&federated_search_id=341d5032-57e7-4880-aa07-61633be520b1
1269,Duplex entero con 2 habitaciones y 3 terrazas,adosado,5 viajeros,2 dormitorios,3 camas,2 baños,"4,91",32,,navarra,https://www.airbnb.es/rooms/54028106?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-20&source_impression_id=p3_1691085703_jm5Q%2Fy%2Bj86xnkzK9&previous_page_section_name=1000&federated_search_id=8ba610ee-e12b-4def-a2c0-2f1ceedda312
1270,"Habitación en piso, con piscina",Giovanni,2 viajeros,1 dormitorio,1 cama,1 baño,,,,valencia,https://www.airbnb.es/rooms/948236316067778517?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691085363_yEJ1MIXFxBv8uA2h&previous_page_section_name=1000&federated_search_id=23586241-f757-4ba0-a83d-4808f5ac05c2
1271,Habitación Madrid,Isabel,2 viajeros,1 dormitorio,1 cama,1 baño privado,,,,madrid,https://www.airbnb.es/rooms/751547126933962043?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691086102_ul8zdut%2FOEM%2FkBog&previous_page_section_name=1000&federated_search_id=bc7f9b21-13bf-489c-85b4-148ad3231254
