,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,comunidad,url,valoracion,n_evaluaciones,precio
333,Loft eco en la playa de Barra,Yolanda,2 viajeros,1 dormitorio,1 cama,1 baño,galicia,https://www.airbnb.es/rooms/913890541521795576?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1691085407_DWjUwj7xnwnjeCfp&previous_page_section_name=1000&federated_search_id=358e4285-0810-480c-90e8-64e20f336a3c,"4,83",6,95€
334,Apartamentos rurales Ecopangea,Juan Carlos,3 viajeros,1 dormitorio,2 camas,1 baño,castilla_y_leon,https://www.airbnb.es/rooms/3664899?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-25&source_impression_id=p3_1691085997_DL7ktC740KDD%2F4mV&previous_page_section_name=1000&federated_search_id=26d3c233-9c23-44d6-9a61-e538221c3edc,"4,88",112,89€
335,GRAN Caravana para 4 y piscina en la naturaleza,Daniel And Adriana,4 viajeros,1 dormitorio,3 camas,1 baño,comunidad_valenciana,https://www.airbnb.es/rooms/945610718360333189?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-20&source_impression_id=p3_1691086135_CSwXtzk2UoX22Jh5&previous_page_section_name=1000&federated_search_id=a86b27f4-0962-4f79-8e1e-e8e9a9f7c3da,,,
336,Apartamento con jardín en Leitza.,adosado,3 viajeros,1 dormitorio,2 camas,1 baño,navarra,https://www.airbnb.es/rooms/48705811?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-21&check_out=2023-09-26&source_impression_id=p3_1691085681_n6WQVF%2Bs6%2BAgV9hB&previous_page_section_name=1000&federated_search_id=2781065c-6f62-431b-8da2-8ab61126d391,"4,90",177,45€
337,Pequeña y acogedora masía en el Alto Maestrazgo,casa rural,4 viajeros,3 dormitorios,3 camas,1 baño,aragon,https://www.airbnb.es/rooms/643890101435133670?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691085837_4wjgY3o2xGhXOoDo&previous_page_section_name=1000&federated_search_id=f62aab82-e762-443f-9b72-a933a55056aa,"4,88",32,
338,La Rosina Finca Ecológica,,,,,,extremadura,https://www.airbnb.es/rooms/52484145?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086384_ubFUWQfuPrxywNRf&previous_page_section_name=1000&federated_search_id=6afdde1c-5012-464b-8a8b-088a19e697aa,,,
339,Casa muy acogedora con jardín,vivienda,5 viajeros,3 dormitorios,3 camas,2 baños,galicia,https://www.airbnb.es/rooms/948276064671275631?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1691085411_gaJ8FpE3s4KNSn%2Fy&previous_page_section_name=1000&federated_search_id=d3e16820-2866-4c03-bb5c-451b6a792443,,,
340,Habitación Atocha Mendez Alvaro,,,,,,madrid,https://www.airbnb.es/rooms/906294385041693452?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086037_WfV21Xq5KTO07gZC&previous_page_section_name=1000&federated_search_id=f280c5e3-f087-4215-b21f-4a719dcb395f,,,
341,"Céntrico, amplio, y moderno. Wifi/HBO/Movistar",piso,4 viajeros,2 dormitorios,3 camas,1 baño,ceuta,https://www.airbnb.es/rooms/21212670?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-16&source_impression_id=p3_1691086499_%2Bo9Zyf0DlP5HGTVJ&previous_page_section_name=1000&federated_search_id=3f4508eb-959a-4b83-8f53-6b894315fc56,"4,76",25,93€
342,Estudio en Residencial con Piscina,piso,2 viajeros,Estudio,1 cama,1 baño,castilla_la_mancha,https://www.airbnb.es/rooms/18383086?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-08&check_out=2023-08-13&source_impression_id=p3_1691086224_5lOwbquiuf9TVT7c&previous_page_section_name=1000&federated_search_id=7e19b138-1770-4192-9bdb-763ac3554d74,"4,73",189,40€
343,"Bonito Piso en Bétera, completo para huéspedes",piso,6 viajeros,1 dormitorio,4 camas,2 baños,valencia,https://www.airbnb.es/rooms/24031322?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-26&check_out=2023-10-01&source_impression_id=p3_1691085367_AtvZ7ceBgNOox3L1&previous_page_section_name=1000&federated_search_id=715ecdc3-3511-4ce1-a16d-881ec9184d03,"4,55",65,46€
344,Estudio bioclimático con patio en precioso pueblo,apto,2 viajeros,1 dormitorio,2 camas,1 baño,extremadura,https://www.airbnb.es/rooms/53170888?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086358_wBL1zoUjjZB%2Bed%2FU&previous_page_section_name=1000&federated_search_id=474b80c0-9a07-4dd1-a776-098e4f671fc5,"5,0",12,
345,Apartamento en Zumaia,vivienda vacacional,4 viajeros,2 dormitorios,3 camas,1 baño,pais_vasco,https://www.airbnb.es/rooms/665779060275804052?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1691085668_rXDleBFd%2F%2Fr9fkrA&previous_page_section_name=1000&federated_search_id=d5701b0d-fb49-4000-a334-7f48c501ff1b,"4,83",36,
346,Casa de pueblo,vivienda,4 viajeros,2 dormitorios,3 camas,2 baños,castilla_y_leon,https://www.airbnb.es/rooms/19096379?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691085993_mAFdwCGklJ86jURe&previous_page_section_name=1000&federated_search_id=88f4465e-8c9b-48ed-8cc8-ac9cd1e6df16,"4,74",32,60€
347,Luminoso apartamento en urbanización con piscina,apto,4 viajeros,2 dormitorios,3 camas,1 baño,navarra,https://www.airbnb.es/rooms/625839508370017196?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085740_%2BFfbFBQ%2BOQpKOKru&previous_page_section_name=1000&federated_search_id=1d9330a6-cc5d-4cde-ace7-b39a08194ef2,"4,67",9,125€
348,2 Habitación cerca universidades.,,,,,,murcia,https://www.airbnb.es/rooms/52462479?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1691086319_OedLwKhTIYwweLCU&previous_page_section_name=1000&federated_search_id=34fc98ec-6c22-46ed-86e3-b6315020057a,,,
349,Piso de 3 habitaciones en Fnideq,piso,6 viajeros,2 dormitorios,1 cama,1 baño,ceuta,https://www.airbnb.es/rooms/924442503027658485?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691086524_jFYYHbKDv8gCcEK9&previous_page_section_name=1000&federated_search_id=9468dbfa-396d-4595-9249-0d5e62bb5952,"3,67",3,44€
350,Acogedora casa rural con jardín próxima a Pamplona,casa rural,4 viajeros,2 dormitorios,3 camas,1 baño,navarra,https://www.airbnb.es/rooms/589293934655797798?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691085748_ERL8yNbbt8vzY0vX&previous_page_section_name=1000&federated_search_id=c5cd8626-467f-4b67-8221-88d63a3c8f38,"5,0",5,160€
351,Habitación en Pleno Centro de Madrid,Andrea,1 viajero,Estudio,1 cama,1 baño compartido,madrid,https://www.airbnb.es/rooms/948395514521160633?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086098_ZzgdWHWjKKV4nk1n&previous_page_section_name=1000&federated_search_id=04805f57-90e4-4064-bda5-a48e8154eccd,,,
352,Duplex a pie de playa en Berria (Santoña),adosado,6 viajeros,3 dormitorios,4 camas,2 baños,cantabria,https://www.airbnb.es/rooms/899825961965998291?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691085601_78UJCyw3NGlu%2BPh9&previous_page_section_name=1000&federated_search_id=910a17d7-acf3-4c82-a75d-d145a4cbce5a,"5,0",4,190€
353,Apartamento Peset,piso,4 viajeros,2 dormitorios,4 camas,1 baño,valencia,https://www.airbnb.es/rooms/23540340?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-31&check_out=2023-11-05&source_impression_id=p3_1691085388_%2F8eSMNILPByI3Hsr&previous_page_section_name=1000&federated_search_id=bf6949a6-d345-4a53-aa5a-8950b0cca889,"4,34",102,41€
354,Paz y tranquilidad en Asturias (Habitación 1),,,,,,asturias,https://www.airbnb.es/rooms/36433128?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-09-01&source_impression_id=p3_1691085477_%2BDEA3OoYxWImm6H5&previous_page_section_name=1000&federated_search_id=8b80983a-ac9d-4163-b58f-c91dc4489ab7,,,
355,Económico apartamento cerca de Sevilla,loft,2 viajeros,1 dormitorio,1 cama,1 baño,andalucia,https://www.airbnb.es/rooms/21843171?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086413_7PcMCnsmIwKREXr%2B&previous_page_section_name=1000&federated_search_id=87af01fd-537e-4d7c-874e-5c065cc5d659,"4,82",128,36€
356,Habitación doble bien situada y luminosa,,,,,,cantabria,https://www.airbnb.es/rooms/35782474?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085571_OTRTIHCXH6O%2BRoMp&previous_page_section_name=1000&federated_search_id=112093d5-b155-4188-a9b5-e4961ca9e712,,,
357,La Isleta del Moro con encanto y WIFI,adosado,2 viajeros,1 dormitorio,1 cama,2 baños,andalucia,https://www.airbnb.es/rooms/1754786?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-16&check_out=2023-10-23&source_impression_id=p3_1691086413_YIkF7xu5MWMExJga&previous_page_section_name=1000&federated_search_id=87af01fd-537e-4d7c-874e-5c065cc5d659,"4,81",230,35€
358,El Bohío. Casina de aldea del s. XIX,Jessica,3 viajeros,1 dormitorio,2 camas,1 baño,asturias,https://www.airbnb.es/rooms/665553926968053519?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-29&check_out=2023-09-04&source_impression_id=p3_1691085510_dG%2Bj0N1qHXcVxLtp&previous_page_section_name=1000&federated_search_id=3cead556-ff23-4525-9b22-195f22aa1c65,"4,76",21,
359,Morabeza,,,,,,andalucia,https://www.airbnb.es/rooms/850461266729657311?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1691086452_IPN3rbp7FtqI%2F1%2BA&previous_page_section_name=1000&federated_search_id=eaa6ebec-6e46-48f9-a710-64cfd7c0edd0,,,
360,VIANATXIKI a tu disposición UAT00670,piso,4 viajeros,2 dormitorios,3 camas,1 baño,la_rioja,https://www.airbnb.es/rooms/17489127?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085803_zqTQbRu1L3NCsVPh&previous_page_section_name=1000&federated_search_id=c932d150-9a74-43f5-8ab2-bd4287d58020,"4,80",70,90€
361,Apartamentos cañada,apto,3 viajeros,1 dormitorio,1 cama,1 baño,extremadura,https://www.airbnb.es/rooms/50733382?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086358_BnDAYeHWrNqEkU4c&previous_page_section_name=1000&federated_search_id=474b80c0-9a07-4dd1-a776-098e4f671fc5,1,evaluación,
362,The Sweet Spot,,,,,,baleares,https://www.airbnb.es/rooms/755568243796739970?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691086665_s7jbdechR3mDwAgQ&previous_page_section_name=1000&federated_search_id=46231895-ddc5-409d-ac67-51cc9d473d85,,,
363,Habitación privada en un apartamento con vistas al mar,Kouki,2 viajeros,1 dormitorio,1 cama,1 baño compartido,cataluña,https://www.airbnb.es/rooms/921927648274743096?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-23&source_impression_id=p3_1691085924_X%2FIE7cgpeG%2BISAYg&previous_page_section_name=1000&federated_search_id=c03c9b9c-a2ce-4fb0-9e27-34ce978f22e4,,,
364,Precioso Ático en el centro de Mota del Cuervo,piso,6 viajeros,2 dormitorios,3 camas,1 baño,castilla_la_mancha,https://www.airbnb.es/rooms/20069497?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691086200_nGid7oMIavtDi8aC&previous_page_section_name=1000&federated_search_id=c1b3c795-0090-4bde-b282-f72c46a36b04,"4,69",167,42€
365,Suite 202 -1940-Luxury Suites,piso,4 viajeros,1 dormitorio,2 camas,1 baño,murcia,https://www.airbnb.es/rooms/908099856919628108?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-10&source_impression_id=p3_1691086299_4QGE40r%2FjXOqyfch&previous_page_section_name=1000&federated_search_id=8d52f324-da10-4646-bcdc-488b72f6ee00,,,
366,Precioso apartamento con vistas a la laguna,piso,4 viajeros,3 dormitorios,3 camas,2 baños,melilla,https://www.airbnb.es/rooms/26679342?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-29&check_out=2023-09-03&source_impression_id=p3_1691086591_Hyw9u15tiw%2FbY4I%2B&previous_page_section_name=1000&federated_search_id=ef1d8409-2e7a-469c-95f6-47ee992badb2,"4,67",30,55€
367,Habitación privada en Gran Vía (cama indiv. 105cm),Pablo,2 viajeros,1 dormitorio,1 cama,2 baños,madrid,https://www.airbnb.es/rooms/949229243863065232?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-12&source_impression_id=p3_1691086060_LCIz6tOEAeipg4JE&previous_page_section_name=1000&federated_search_id=c8bcf9b3-48c9-4dfb-a38a-4645fccc79f6,,,
368,apartamentos de alquiler,piso,5 viajeros,1 dormitorio,1 cama,1 baño,ceuta,https://www.airbnb.es/rooms/942566923051186826?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086528_UxKWVMNKD%2FhL7uaA&previous_page_section_name=1000&federated_search_id=277aed56-87fa-427a-91d7-eaaf0a0a6e7b,,,
369,"Apartamento, Cabo Négro",piso,6 viajeros,2 dormitorios,4 camas,1 baño,ceuta,https://www.airbnb.es/rooms/944648727146159734?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1691086544_EinqRwobCJ8WHOLX&previous_page_section_name=1000&federated_search_id=27aa5fbe-e719-4aa6-811d-79d5d0b04fb1,,,
370,Habitación individual,,,,,,baleares,https://www.airbnb.es/rooms/942527868846527168?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-27&source_impression_id=p3_1691086661_HxAKqLN4HwoH518f&previous_page_section_name=1000&federated_search_id=61026d33-baa1-4adf-a1ad-bf8aa7846835,,,
371,Hotel al andalus habitación 3,Esteban,1 viajero,1 dormitorio,1 cama,1 baño compartido,melilla,https://www.airbnb.es/rooms/686235344258617559?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086574_Jvvfz6JyzRJe9Nek&previous_page_section_name=1000&federated_search_id=3cf6f526-eba1-4e11-aadf-21370dfc209d,,,
372,Céntrico Apartamento Boutique!,piso,4 viajeros,2 dormitorios,3 camas,1 baño,valencia,https://www.airbnb.es/rooms/946532591438625863?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085350_7pNtfayW7pIUmJqy&previous_page_section_name=1000&federated_search_id=2b74227d-507c-474c-a98f-bd87e15f3143,,,
373,Apartamento con PARKING en la villa de Mutriku,piso,4 viajeros,2 dormitorios,3 camas,1 baño,navarra,https://www.airbnb.es/rooms/26511650?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-13&check_out=2023-09-18&source_impression_id=p3_1691085711_E9y%2BfJdsrTvUuRjj&previous_page_section_name=1000&federated_search_id=61caa4df-ea64-4b99-98f1-7952281d9540,"4,85",131,71€
374,Nuevo Apartamento +climatizado,piso,4 viajeros,2 dormitorios,4 camas,1 baño,melilla,https://www.airbnb.es/rooms/940805510530836566?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691086582_dyejzlFdrheP05qd&previous_page_section_name=1000&federated_search_id=ec6e7866-7611-49d6-afe6-eb0d5a96f79c,,,
375,"Casa Magdalena "" Una Antigua Nueva Vida """,vivienda,6 viajeros,2 dormitorios,6 camas,1 baño,murcia,https://www.airbnb.es/rooms/933367914616328060?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-12&source_impression_id=p3_1691086323_9WZV9JDisIdcP7Oj&previous_page_section_name=1000&federated_search_id=b1dd747f-9b90-4523-81d9-6030cdd22634,2,evaluaciones,192€
376,"Apartamento 1 dormitorio, para 3/4 personas",apartamento con servicios,4 viajeros,1 dormitorio,2 camas,"1,5 baños",extremadura,https://www.airbnb.es/rooms/33784297?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086389_KBzrDVERlCztD4pI&previous_page_section_name=1000&federated_search_id=8c358d0e-bf63-476c-89f6-d9f65150da01,"4,83",12,100€
377,Habitacion cómoda sencilla cerca a la playa,,,,,,valencia,https://www.airbnb.es/rooms/37658054?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691085371_04yQiBSKMHy7DlQH&previous_page_section_name=1000&federated_search_id=17ecb331-8746-4398-a500-40136d3f3c40,,,
378,,,,,,,cantabria,https://www.airbnb.es/rooms/39163421?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-03&source_impression_id=p3_1691085563_9XKUpnFhuCt9yam9&previous_page_section_name=1000&federated_search_id=1b0a8c5d-f6ef-4448-8f01-f1ff3664631d,,,
379,alojamiento ideal familia pareja,La Cañada,2 viajeros,6 dormitorios,2 camas,Aseo,extremadura,https://www.airbnb.es/rooms/37940250?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086366_kb6kD3jKBi1ieQKU&previous_page_section_name=1000&federated_search_id=8b1ac4b3-dd7a-4299-9a2a-fdcdfa8a9083,,,
380,L4) Amplia Hab 2 personas Zona Tranquila segura,Douglas,2 viajeros,1 dormitorio,1 cama,"1,5 baños compartidos",castilla_la_mancha,https://www.airbnb.es/rooms/949110212348733883?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086200_fgGMctFh5%2FPGLsSx&previous_page_section_name=1000&federated_search_id=c1b3c795-0090-4bde-b282-f72c46a36b04,,,
381,amplio salón con baño .,,,,,,galicia,https://www.airbnb.es/rooms/933109377358577970?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691085407_6XqFzy02zjyQerBT&previous_page_section_name=1000&federated_search_id=358e4285-0810-480c-90e8-64e20f336a3c,,,
382,Habitación privada en Suances,,,,,,cantabria,https://www.airbnb.es/rooms/919351538931003515?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1691085584_kKu0GiHhP6pHqUm%2B&previous_page_section_name=1000&federated_search_id=4cf0edb4-cf4e-4162-abfd-d626d7ecff2a,,,
383,Casa Rural Los Altos,casa rural,6 viajeros,3 dormitorios,5 camas,2 baños,extremadura,https://www.airbnb.es/rooms/50637771?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691086389_sFRHWfZ%2FM26tyIsq&previous_page_section_name=1000&federated_search_id=8c358d0e-bf63-476c-89f6-d9f65150da01,"4,94",16,135€
384,"MAZEL TOV, Playas y montañas",vivienda,4 viajeros,2 dormitorios,4 camas,1 baño,asturias,https://www.airbnb.es/rooms/844902609026711713?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691085510_iFzs1X19MnKmVwsg&previous_page_section_name=1000&federated_search_id=3cead556-ff23-4525-9b22-195f22aa1c65,"4,43",7,
385,HABITACIÓN N 2 CAMA 150 ALOJAMIENTO Y DESAYUNO,Casa Rural,2 viajeros,1 dormitorio,1 cama,1 baño privado,extremadura,https://www.airbnb.es/rooms/36403375?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-24&source_impression_id=p3_1691086404_C3ynoUfEqS7DmdAq&previous_page_section_name=1000&federated_search_id=602a9d1a-6239-48ab-848c-f2dd2ff5c2c2,"5,0",6,93€
386,"Ático en el centro,luz y color en tu escapada.",piso,4 viajeros,1 dormitorio,2 camas,1 baño,valencia,https://www.airbnb.es/rooms/49957212?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691085367_sj036N2XOzQsqVxo&previous_page_section_name=1000&federated_search_id=715ecdc3-3511-4ce1-a16d-881ec9184d03,"4,53",83,
387,Cabaña de madera B fines semana .,cabaña,4 viajeros,2 dormitorios,3 camas,1 baño,castilla_la_mancha,https://www.airbnb.es/rooms/9561143?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1691086252_ZNUIEcTm59h1jBS4&previous_page_section_name=1000&federated_search_id=10b3325f-93e8-4cac-a023-c47a93311067,"4,86",167,
388,Habitación tranquila,,,,,,madrid,https://www.airbnb.es/rooms/864538698650779513?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086073_MpUlNkmhlGZBeT0g&previous_page_section_name=1000&federated_search_id=d5aaba37-321c-4928-b31b-0640a972322a,,,
389,DAHAB,piso,6 viajeros,2 dormitorios,3 camas,2 baños,melilla,https://www.airbnb.es/rooms/919448834465118032?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-28&source_impression_id=p3_1691086617_ydIhj9hSPqIHSR7A&previous_page_section_name=1000&federated_search_id=b9f7a2fe-d1ee-4955-9b93-7dc6ee35ab30,,,
390,Apartamento con Jacuzzi en Tarragona,piso,2 viajeros,1 dormitorio,1 cama,1 baño,cataluña,https://www.airbnb.es/rooms/665746236749256317?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691085946_jgrxSzEIt5j%2Bwe%2Fy&previous_page_section_name=1000&federated_search_id=d00cc8a9-0959-40b9-ad33-d52d372bd770,"4,96",24,
391,Habitación individual,Ángela,1 viajero,1 dormitorio,1 cama,1 baño compartido,comunidad_valenciana,https://www.airbnb.es/rooms/587683129635365036?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-01&check_out=2024-01-06&source_impression_id=p3_1691086161_%2B9etoiS1hGRUb1CT&previous_page_section_name=1000&federated_search_id=394e1388-1978-460e-be66-1d6935e2084a,"4,58",103,20€
392,Apartamento Furmumecha VUT-LE-611,piso,4 viajeros,1 dormitorio,2 camas,1 baño,asturias,https://www.airbnb.es/rooms/39484073?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085489_EpwhrrKkzKxZyqpo&previous_page_section_name=1000&federated_search_id=aaa68aae-f7ed-43bf-bd1f-48c0b360ff6a,"4,81",43,
393,Casa Rural T-Rex,casa rural,16 huéspedes o más,2 dormitorios,16 camas,"2,5 baños",la_rioja,https://www.airbnb.es/rooms/652201582891667193?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691085810_vbGThlS9hcX%2Bs2rh&previous_page_section_name=1000&federated_search_id=8389f586-7cd4-487a-8ec0-8f2c0ebb30ca,"5,0",4,70€
394,Apartamento de 3 habitaciones Nador junto al mar,piso,7 viajeros,3 dormitorios,4 camas,1 baño,melilla,https://www.airbnb.es/rooms/793397925643304200?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-11&source_impression_id=p3_1691086617_GOGOp9a0HmUWevao&previous_page_section_name=1000&federated_search_id=b9f7a2fe-d1ee-4955-9b93-7dc6ee35ab30,,,
395,Casa Camí del Castell,vivienda,4 viajeros,2 dormitorios,3 camas,2 baños,cataluña,https://www.airbnb.es/rooms/919295637691681061?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085941_qG1JvXNItRHTstZb&previous_page_section_name=1000&federated_search_id=4c4ea3fe-de6e-4fb5-bbbf-abb37734e0ea,"5,0",6,79€
396,Encantador apartamento próximo a Ezcaray. WiFi.,piso,6 viajeros,1 dormitorio,4 camas,1 baño,la_rioja,https://www.airbnb.es/rooms/33102437?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691085791_Ig3gM84o9DYWdwWo&previous_page_section_name=1000&federated_search_id=f36f17f3-857b-4792-bf42-9cb7f4788e6f,"4,70",40,60€
397,apprtmnt Golden fitness 1,piso,4 viajeros,2 dormitorios,3 camas,2 baños,melilla,https://www.airbnb.es/rooms/935386283439353070?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086617_mFhvC3wqoUbzJSXa&previous_page_section_name=1000&federated_search_id=b9f7a2fe-d1ee-4955-9b93-7dc6ee35ab30,,,
398,APARTAMENTO RURAL LOS LIMONEROS,casa de invitados,3 viajeros,Estudio,2 camas,"1,5 baños",andalucia,https://www.airbnb.es/rooms/41390757?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086481_JHv9gOZjSZSd65Ku&previous_page_section_name=1000&federated_search_id=b348a4a6-0446-4609-9ffb-8c897d419c93,"4,75",101,89€
