,precio,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,comunidad,url
11,60€,Casa Lydia,casa de invitados,2 viajeros,1 dormitorio,1 cama,1 baño,"4,65",472,islas_canarias,https://www.airbnb.es/rooms/2025849?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691172355_RjNQGUXDuuT9bWSw&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
12,35€,Cliff House Gran Canaria,vivienda,2 viajeros,1 dormitorio,1 cama,1 baño,"4,91",210,islas_canarias,https://www.airbnb.es/rooms/8481120?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1691172398_jdjzXwvreCWtm%2BTv&previous_page_section_name=1000&federated_search_id=0740985b-f5f3-4f50-9c16-8534c5ce5db7
13,28€,Casa de Piscis,Živilė,2 viajeros,1 cama,1 baño,,,,islas_canarias,https://www.airbnb.es/rooms/36259339?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-05&check_out=2024-01-10&source_impression_id=p3_1691172394_ERj%2ByFXw%2ByW%2F6Uuw&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
14,33€,Apartamento de un dormitorio en Tazacorte,apto,4 viajeros,1 dormitorio,2 camas,1 baño,"4,64",61,islas_canarias,https://www.airbnb.es/rooms/53198919?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691172351_oMLoe6TvsIDczTUA&previous_page_section_name=1000&federated_search_id=b41b1263-25bb-414e-8718-5e7ad3703f1b
15,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/928579572144105314?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691172355_FDhC%2FzI6ZTd%2BT9X2&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
16,28€,Estudio en San Andrés.Playa de Las Teresitas/Anaga,piso,2 viajeros,1 dormitorio,2 camas,1 baño,"4,51",89,islas_canarias,https://www.airbnb.es/rooms/48152810?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691172374_dbbUVnq5ehVfh%2Bmt&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
17,52€,"Casa encantadora, cálida y acogedora",vivienda,4 viajeros,2 dormitorios,3 camas,1 baño,"4,84",228,islas_canarias,https://www.airbnb.es/rooms/5430443?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-15&source_impression_id=p3_1691172366_yESXLSARhJi%2BiyyU&previous_page_section_name=1000&federated_search_id=6e0698c7-5b9e-4695-b71e-cd95ce4e5b50
18,46€,Leonidas ( Wifi - Netflix -Ozono+UV ),Claire,2 viajeros,1 dormitorio,1 cama,"1,5 baños","4,96",216,islas_canarias,https://www.airbnb.es/rooms/22873993?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-20&check_out=2023-12-25&source_impression_id=p3_1691172382_Ic9N9nz9azFLCspH&previous_page_section_name=1000&federated_search_id=937af752-de63-420e-b876-b05ea5a3c988
19,50€,Casita Pedro González,casa de invitados,2 viajeros,1 dormitorio,1 cama,1 baño,"4,96",45,islas_canarias,https://www.airbnb.es/rooms/39131746?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1691172398_xN5q4Vk%2Fp6N4XRZt&previous_page_section_name=1000&federated_search_id=0740985b-f5f3-4f50-9c16-8534c5ce5db7
20,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/728962548658388053?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691172370_RT4Doo7e7hHptfKB&previous_page_section_name=1000&federated_search_id=dde3fff5-09c3-4336-8aa4-3076d8028d15
